,comment_lengths,comments,mags,scores,times
50,188,Family matters should stay within the family.  Disappointed that LWL & LHY needs to subject to social media.   We have faith & trust in your leadership for our nation.  Stay strong PM Lee.,1.8,0,2017-06-14T04:18:36+0000
51,153,"Its so true, nvr wash our dirty linens in public. Everything and anything shld be dissolve amicably or not, shld be behind closed doors. Sad to knw this.",0.5,0,2017-06-14T01:49:19+0000
52,125,"The statement is a painful read for me, let alone for you PM. God bless your family with strength and wisdom to resolve this.",1.2,0.1,2017-06-14T01:55:25+0000
53,446,"I don't think airing the family's dirty laundry in public is honouring the late LKY . Would  LKY have cared more for what happens to the house as to his children's attempt of public shaming their older brother? Like all parents, it must be painful - least about how one's last wish is executed, more about how one's children are getting along. A father's legacy lives more in the conduct n character of his children than in any brick and mortar .",1.2,0,2017-06-14T04:01:24+0000
54,254,"Whatever their reasons or motives are  , what they have done is not only hurting PM Lee but the legacy of our beloved Lee Kuan Yew.  They are hurting the entire Singapore. Hope all can be settled soonest and take care of yourself in the process , PM Lee.",1.7,0,2017-06-14T02:02:44+0000
55,1236,"Dear Mr and Ms Lees, I hope you all can see this matter from another perspective. All great nations have and need monuments to unite its people. We are multi racial/religion, so we don't have the luxury of most country to unite us together through these conventional means. We have very short history, and Singaporeans do not have the idea to regard heritage, culture and the arts in high regard. This house in my opinion, is not private property. It's a heritage shared by all Singaporeans. Now many people thinks that it's just a house, let us respect the old man's wishes and demolish it, period. But we would also be demolishing an important part of history, not other people's history but OUR history. From heritage's perspective we need to preserve this house.   I think the best course of action now is to remain status quo, and let us mull over the subj. Once the house is demolished, it cannot be rebuilt (can be done but no point, it's not the original). Let us all mull over the subj. I understand as sons and daughter it is an emotional issue for you, at the same time pls think from the perspective of a Singapore citizen. Fortunately or unfortunately the late LKY belongs not only to your family but all of us Singaporean.",5.4,0.1,2017-06-14T02:44:51+0000
56,646,"Dear PM Lee, I am sure your dad had chosen you to be a leader for a reason and I believe we should all respect that. And we know and understand the sacrifices that you made to dedicate yourself to the country. We feel your pain and sadness as well for your Brother and Sister to do this to you. We hope this will blow over soon and kinship will make amend. Regardless, blood is thicker than water. At the meantime, I personally hope you will take care of your health too! The country is counting on you (no pressure). But whatever it is, I wish you and your family well. And we do appreciate what you do for our country. Thank you and God speed!!",4.2,0.4,2017-06-14T04:00:00+0000
57,224,I think the siblings' act is despicable. Knowing that their brother is a public figure and choose to take things publicly to address a family matter. That is a lowest blow it can get.  I will support you Mr Lee. Stay strong.,1,0.1,2017-06-14T02:44:42+0000
58,179,"Dear PM Mr Lee, you must be feeling very hurt by the actions of your siblings. I wish you well and I believe you can bring your family together like you did to unite Singaporeans.",1.3,-0.1,2017-06-14T04:00:25+0000
59,145,This grieves us as Singaporeans.  May the three of you and your family find strength and courage to resolve this conflict and forgive each other.,0.2,0.1,2017-06-14T02:57:14+0000
60,121,"Be strong PM Lee,  enjoy ur vacation with ur family..  We, Singaporeann strongly trusted you n will support u throughout!",1,0.5,2017-06-14T02:04:53+0000
